ADC,Support,Wins,Total Games,Winrate
21,223,73,134,0.5447761194029851
67,26,167,340,0.49117647058823527
30,79,1,1,1.0
133,412,30,73,0.410958904109589
15,76,3,4,0.75
236,34,27,46,0.5869565217391305
104,89,104,184,0.5652173913043478
29,37,349,595,0.5865546218487395
429,44,34,69,0.4927536231884058
15,63,77,146,0.5273972602739726
222,54,41,85,0.4823529411764706
119,63,241,450,0.5355555555555556
236,54,56,107,0.5233644859813084
42,16,23,54,0.42592592592592593
18,1,54,113,0.4778761061946903
18,40,415,802,0.5174563591022444
21,432,201,415,0.4843373493975904
222,223,143,300,0.4766666666666667
42,43,26,47,0.5531914893617021
202,45,22,53,0.41509433962264153
42,53,37,77,0.4805194805194805
42,37,26,46,0.5652173913043478
42,117,19,49,0.3877551020408163
236,78,61,122,0.5
15,161,32,66,0.48484848484848486
236,1,168,380,0.4421052631578947
51,54,71,124,0.5725806451612904
42,44,13,26,0.5
15,44,38,68,0.5588235294117647
18,223,58,123,0.4715447154471545
42,201,21,48,0.4375
81,127,1,3,0.3333333333333333
81,11,0,2,0.0
4,25,5,11,0.45454545454545453
222,31,9,17,0.5294117647058824
96,37,106,204,0.5196078431372549
15,37,147,267,0.550561797752809
15,53,196,364,0.5384615384615384
104,111,13,30,0.43333333333333335
236,17,73,136,0.5367647058823529
412,53,8,24,0.3333333333333333
81,136,2,5,0.4
21,201,234,449,0.5211581291759465
67,98,47,98,0.47959183673469385
236,10,12,42,0.2857142857142857
18,43,274,583,0.4699828473413379
22,432,356,702,0.5071225071225072
222,20,17,40,0.425
21,14,28,53,0.5283018867924528
110,54,23,39,0.5897435897435898
4,89,4,10,0.4
42,432,16,38,0.42105263157894735
22,203,0,1,0.0
96,161,14,39,0.358974358974359
202,61,2,8,0.25
42,143,18,35,0.5142857142857142
236,14,87,141,0.6170212765957447
82,89,2,5,0.4
104,143,10,30,0.3333333333333333
103,37,0,3,0.0
22,223,115,250,0.46
81,33,3,6,0.5
42,40,69,121,0.5702479338842975
15,117,192,382,0.5026178010471204
110,201,134,260,0.5153846153846153
42,54,2,5,0.4
429,432,78,158,0.4936708860759494
119,98,23,49,0.46938775510204084
104,53,77,149,0.5167785234899329
429,17,4,10,0.4
203,111,0,3,0.0
104,201,25,58,0.43103448275862066
18,37,239,477,0.5010482180293501
29,106,9,17,0.5294117647058824
119,1,72,144,0.5
429,40,159,289,0.5501730103806228
202,26,76,158,0.4810126582278481
110,40,250,461,0.5422993492407809
203,89,4,7,0.5714285714285714
429,117,152,303,0.5016501650165016
104,432,19,35,0.5428571428571428
15,40,259,470,0.551063829787234
133,432,11,19,0.5789473684210527
96,12,52,111,0.46846846846846846
18,267,274,540,0.5074074074074074
222,58,1,3,0.3333333333333333
22,81,8,11,0.7272727272727273
42,63,11,25,0.44
51,78,63,132,0.4772727272727273
236,35,20,48,0.4166666666666667
18,61,7,17,0.4117647058823529
81,78,31,67,0.4626865671641791
133,37,10,27,0.37037037037037035
236,64,12,27,0.4444444444444444
18,106,3,6,0.5
42,98,2,4,0.5
104,12,21,38,0.5526315789473685
236,59,7,15,0.4666666666666667
18,44,62,112,0.5535714285714286
203,1,1,2,0.5
429,98,9,23,0.391304347826087
21,99,151,314,0.48089171974522293
51,98,76,154,0.4935064935064935
15,432,100,228,0.43859649122807015
222,106,16,32,0.5
81,9,50,111,0.45045045045045046
82,117,0,1,0.0
21,54,54,105,0.5142857142857142
6,53,7,15,0.4666666666666667
18,143,154,300,0.5133333333333333
96,9,11,20,0.55
42,26,6,12,0.5
110,223,48,103,0.46601941747572817
4,12,2,3,0.6666666666666666
29,223,80,159,0.5031446540880503
67,7,7,10,0.7
429,99,28,63,0.4444444444444444
110,111,73,141,0.5177304964539007
51,81,13,25,0.52
67,10,23,54,0.42592592592592593
203,201,2,3,0.6666666666666666
15,98,17,33,0.5151515151515151
